"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
330,81001,1,1,1,5,1,1,1,NA,0,81,1,1,12,3,13,1,3,4,2,1,3,2,4,5,1,2,3,5,1,2,2,4,1,5,2,NA,2,NA,2,NA,1,1,1,5,3,4,3,305,3,2,1,1,1,1,2,3,2,1,NA,NA,5,1,5,NA
330,81001,1,1,1,5,1,1,1,NA,0,81,1,1,12,3,13,1,3,4,2,1,3,2,4,5,1,2,3,5,1,2,2,4,1,5,2,NA,2,NA,2,NA,1,1,1,5,3,4,3,305,3,2,1,1,1,1,9,3,2,1,NA,NA,2,1,2,NA
330,81001,1,1,1,5,1,1,1,NA,0,81,1,1,12,3,13,1,3,4,2,1,3,2,4,5,1,2,3,5,1,2,2,4,1,5,2,NA,2,NA,2,NA,1,1,1,5,3,4,3,305,3,2,1,1,1,1,7,3,2,1,NA,NA,3,1,3,NA
487,81001,1,1,1,3,1,1,1,NA,0,81,1,1,12,1,130,1,1,4,2,2,4,4,4,4,4,4,5,4,4,5,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,3,2,3,305,1,1,1,1,1,2,43,2,2,2,NA,NA,2,1,2,NA
487,81001,1,1,1,3,1,1,1,NA,0,81,1,1,12,1,130,1,1,4,2,2,4,4,4,4,4,4,5,4,4,5,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,3,2,3,305,1,1,1,1,1,1,42,1,2,2,1,1,1,1,1,1
487,81001,1,1,1,3,1,1,1,NA,0,81,1,1,12,1,130,1,1,4,2,2,4,4,4,4,4,4,5,4,4,5,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,3,2,3,305,1,1,1,1,1,1,2,3,1,1,NA,NA,3,1,3,NA
512,81001,2,1,1,3,1,1,1,NA,0,81,1,1,6,4,20,1,3,3,2,2,3,4,4,2,4,3,2,4,3,3,4,5,5,4,1,1,2,NA,2,NA,1,1,1,5,5,2,5,511,1,2,1,1,1,2,29,1,2,2,1,1,1,1,1,1
512,81001,2,1,1,3,1,1,1,NA,0,81,1,1,6,4,20,1,3,3,2,2,3,4,4,2,4,3,2,4,3,3,4,5,5,4,1,1,2,NA,2,NA,1,1,1,5,5,2,5,511,1,2,1,1,1,1,5,3,2,1,NA,NA,3,1,3,NA
512,81001,2,1,1,3,1,1,1,NA,0,81,1,1,6,4,20,1,3,3,2,2,3,4,4,2,4,3,2,4,3,3,4,5,5,4,1,1,2,NA,2,NA,1,1,1,5,5,2,5,511,1,2,1,1,1,1,9,3,2,1,NA,NA,2,1,2,NA
524,81001,1,1,3,9,1,1,1,NA,0,81,2,4,NA,NA,NA,2,NA,4,2,1,4,4,2,2,4,4,2,4,2,3,4,2,3,4,2,NA,1,1,2,NA,9,1,9,9,6,0,5,511,NA,NA,9,1,9,1,65,1,3,3,NA,NA,1,1,1,NA
